Otu,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu1265,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,na
Otu1559,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,na,na
Otu1963,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,na
Otu2440,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,na
Otu2851,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides paurosaccharolyticus
Otu890,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na,na
Otu1974,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
Otu2213,Bacteria,na,na,na,na,na,na
Otu2869,Bacteria,na,na,na,na,na,na
Otu3674;otu3340,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,na,na,na
Otu3891,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu2193,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
Otu618,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na,na
Otu2733,Bacteria,na,na,na,na,na,na
Otu3149,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu2349,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu2434,Bacteria,na,na,na,na,na,na
Otu295,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum,na
Otu208,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Allobaculum,na
Otu2396,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu3398,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
Otu2974,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides paurosaccharolyticus
Otu2758,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ethanoligenens,Ethanoligenens harbinense
Otu1759,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Anaerobaculum,na
Otu1588,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma taiwanense
Otu1264,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na,na
Otu133,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,na
Otu1812,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,na
Otu3645,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
Otu1092,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,na
Otu3702,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
Otu2994,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu3260,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Butyricimonas,na
Otu1063,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na,na
Otu1913,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu1957,Bacteria,Tenericutes,Mollicutes,na,na,na,na
Otu3665,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Kandleria,Kandleria vitulina
Otu1337,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu3556,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu528,Bacteria,na,na,na,na,na,na
Otu3127,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,na,na,na
Otu3794,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,na
Otu1576,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Brassicibacter,Brassicibacter mesophilus
Otu1906,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Acholeplasma parvum
Otu1139,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
Otu523,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
Otu3027,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium mayombei
Otu2013,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
Otu2373,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides paurosaccharolyticus
Otu2814,Bacteria,Proteobacteria,Deltaproteobacteria,na,na,na,na
Otu1182,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Selenomonas,Selenomonas ruminantium
Otu1843,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,na,na
Otu1999,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu2090,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,na,na,na
Otu1730,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu759,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu2248,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Geovibrio,na
Otu570,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus flavefaciens
Otu892,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XIV. Incertae Sedis,Anaerobranca,na
Otu2881,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eisenbergiella,Eisenbergiella tayi
Otu3376,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
Otu3182,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu1166,Bacteria,Actinobacteria,Actinobacteria,na,na,na,na
Otu42,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus comes
Otu2910,Bacteria,na,na,na,na,na,na
Otu2414,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,na,na
Otu490,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
Otu1316,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu1484,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
