Otu,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU1354,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,na
OTU2495,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfosporosinus,na
OTU1782,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
OTU2525,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides paurosaccharolyticus
OTU2598,Bacteria,Firmicutes,na,na,na,na,na
OTU2968,Bacteria,Firmicutes,na,na,na,na,na
OTU931,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
OTU2766,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
OTU1494,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
OTU2670,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia,na
OTU1178,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Stella,na
OTU721,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,na,na
OTU1149,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
OTU1776,Bacteria,na,na,na,na,na,na
OTU3200,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,na
OTU3562,Bacteria,Proteobacteria,Gammaproteobacteria,na,na,na,na
OTU1694,Bacteria,Proteobacteria,Gammaproteobacteria,na,na,na,na
OTU2545,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
OTU289,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,na,na
OTU2676,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,na
OTU124,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,na,na
OTU3580,Bacteria,Proteobacteria,Gammaproteobacteria,na,na,na,na
OTU679;OTU628,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,na,na
OTU2246,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
OTU70,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,Veillonella dispar
OTU3377,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
OTU1342,Bacteria,Verrucomicrobia,na,na,na,na,na
OTU2377,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
OTU3838,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium mayombei
OTU3449,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
OTU1513,Bacteria,Proteobacteria,Gammaproteobacteria,na,na,na,na
OTU3028,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,na
OTU1343,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,na
OTU1374,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,na
OTU1281,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
OTU188,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
OTU3590,Bacteria,na,na,na,na,na,na
OTU110,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus eutactus
OTU3372,Bacteria,Proteobacteria,Gammaproteobacteria,na,na,na,na
OTU764,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XIV. Incertae Sedis,Anaerobranca,na
OTU3685;OTU2989,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,na,na
OTU489,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Slackia,na
OTU3860,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
OTU1117,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix,na
OTU1873,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,na
OTU1923,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Emticicia,na
OTU241,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,na
OTU1038,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,na
OTU2865,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Atopobium,na
OTU3164,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,na
OTU3912,Bacteria,Proteobacteria,na,na,na,na,na
OTU434,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
OTU1208,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
OTU2561,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
OTU307,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,na
OTU3053,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Atopobium,na
OTU674,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,na
OTU997;OTU1037,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,na
OTU1107,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
OTU1404,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Catonella,Catonella morbi
OTU1171,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
OTU2707,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
OTU53,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
OTU1033,Bacteria,na,na,na,na,na,na
OTU1805,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Cytophaga,na
OTU3257,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
OTU929,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
OTU3603,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,na
OTU2136,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
OTU933,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
OTU1606,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira,Lachnospira multipara
OTU968,Bacteria,na,na,na,na,na,na
OTU952,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
OTU3214,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
OTU1075,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii
OTU1284,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
OTU257,Bacteria,na,na,na,na,na,na
OTU3290,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Atopobium,na
OTU2770,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Leptospiraceae,Leptospira,na
OTU428,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
OTU389,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
OTU2896,Bacteria,na,na,na,na,na,na
OTU3680,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
OTU3075,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
OTU2862,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,na
OTU2295,Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,na,na
OTU32,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,Parabacteroides distasonis
OTU3579,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
OTU1722,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Atopobium,na
OTU2294,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,na
OTU1081,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
OTU244,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
OTU1543,Bacteria,na,na,na,na,na,na
OTU1602,Bacteria,Tenericutes,Mollicutes,na,na,na,na
OTU2535,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
OTU917,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,na
OTU3829,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Hydrogenoanaerobacterium,Hydrogenoanaerobacterium saccharovorans
OTU1025,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus schlegelii
OTU1243,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
OTU3534,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
OTU3068,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Spirosoma,na
OTU1431,Bacteria,na,na,na,na,na,na
OTU2299,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides paurosaccharolyticus
OTU2476,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,na
OTU265,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
OTU938;OTU2123,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,na,na
OTU1883,Bacteria,Proteobacteria,Gammaproteobacteria,na,na,na,na
OTU1368,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Skermanella,Skermanella xinjiangensis
OTU2541,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
OTU753,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,na
OTU3396,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,na
OTU961,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerofilum,na
OTU3146,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides paurosaccharolyticus
OTU141,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
OTU220,Bacteria,Firmicutes,na,na,na,na,na
OTU536,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,na
OTU282,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Butyricimonas,na
OTU115,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
OTU296,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides barnesiae
OTU2799,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
OTU3552,Bacteria,na,na,na,na,na,na
OTU371,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,na
OTU1823,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
OTU590,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
OTU1841,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Gemmiger,Gemmiger formicilis
OTU1703,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
OTU3092,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides paurosaccharolyticus
OTU1039,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
