Otu,Domain,Phylum,Class,Order,Family,Genus,Species,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63
Otu107,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Johnsonella,na,0.0007320443,3.1353406e-10,1.7888203e-10,3.434796e-10,4.7703236e-10,0.00015898375,0.0015503214,1.8935358e-09,4.5971815e-10,0.00022627521,1.9426163e-09,5.4929616e-10,5.8878086e-10,0.001783016,4.2626702e-10,4.427929e-10,2.495228e-10,1.7116388e-06,0.0017294455,3.3861855e-10,5.7563065e-10,4.698576e-06,5.74239e-10,5.7557137e-10,3.3901773e-10,0.00085164746,3.4384173e-10,0.001142197,3.839897e-10,1.7067092e-06,0.0008318906,0.0023642173,5.0579974e-10,6.421961e-10,9.407028e-10,0.0002848358,1.1392979e-09,0.0035131525,0.00078188005,0.0068182745,0.00032688063,6.016042e-10,2.8564891e-06,2.6274704e-06,0.00839897,8.619121e-10,1.2172005e-09,8.7868335e-07,3.5182593e-10,4.715883e-10,7.21493e-05,1.1707922e-09,0.009873506,7.602146e-10,0.010191665,4.799197e-06,0.00033338155,6.063061e-10,6.8056427e-10,0.00093761156,7.5942597e-10,0.117140844,7.899095e-05
Otu35,Bacteria,Firmicutes,na,na,na,na,na,5.70768e-10,3.9654982e-10,1.8270233e-10,4.8071425e-10,0.0008628033,1.7450832e-09,0.00011744695,0.0005149273,0.0003447813,0.00112312,3.0912856e-10,5.5631516e-10,0.0029555399,0.0007100766,4.5015294e-10,2.507845e-10,2.879098e-10,6.775888e-10,0.0048431647,3.5088404e-10,3.477546e-10,0.00044521768,2.889835e-10,0.0016932529,0.00014160859,0.0006738674,4.9080784e-10,0.013791062,3.856897e-10,6.947337e-10,3.45297e-10,0.007459068,7.4164577e-09,2.373836e-10,1.6964412e-09,0.00010602896,0.0050310367,4.2626946e-10,0.000980589,0.00034070294,0.85308236,4.2803328e-10,1.6292391e-09,0.0004877275,7.221792e-09,4.521472e-10,7.4653184e-10,1.3536307e-10,4.0249584e-10,4.715883e-10,0.00030211676,0.010419499,0.0017742343,0.0029592884,0.00084718067,1.5518635e-10,4.5279908e-10,0.0014593111,6.175477e-10,0.012389708,5.867382e-10,0.0088052545,8.5705226e-10
Otu51,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Marvinbryantia,na,5.680225e-10,2.2508315e-10,2.5201835e-10,0.00053499936,0.014403499,0.0015816153,0.00026503007,0.1330451,4.3733864e-10,0.002839788,4.867753e-06,4.5016216e-10,4.1658645e-09,0.0012372035,4.4218862e-10,0.0005097345,2.5228694e-10,1.1495963e-09,0.018297248,0.0028394698,6.1485367e-10,0.0008691977,0.008566067,0.0011737515,3.5889255e-10,5.212954e-10,4.22267e-05,0.007788328,0.00050219643,0.0024442566,0.00044810565,0.018568346,1.1157033e-09,2.8769528e-10,2.883085e-10,0.0046095545,0.00015161217,0.0004880416,0.002723001,7.5671436e-10,0.007949759,4.815657e-10,3.988435e-05,0.00029370622,0.003238624,3.883957e-10,7.428204e-10,0.0009169723,3.5269268e-10,0.002852531,3.2040778e-10,0.77014536,0.008609726,7.175335e-10,4.2068743e-10,0.0015754125,6.0983324e-10,0.003681125,6.3029965e-10,0.0050032493,0.0052418904,0.046952084,8.093572e-10
Otu49,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster,na,0.00072864775,2.4444712e-06,2.5156788e-10,0.00047491593,0.004988889,7.793636e-10,0.0010564144,5.286063e-10,5.8824534e-10,0.0034689247,2.2640804e-06,4.3280965e-05,0.00012165406,1.1617074e-09,0.006576568,3.9955578e-10,2.1633892e-10,3.988897e-10,0.00048512168,3.6497652e-10,0.0006056462,1.4350777e-09,2.598205e-10,0.014338924,0.0011242493,2.847848e-05,0.0004642243,6.356216e-10,4.9770027e-10,2.1591867e-10,7.8563717e-10,0.0037153463,0.0004673177,2.3923813e-10,0.007372341,0.00025283993,4.0177836e-10,0.00072304875,0.00226965,8.585776e-10,8.3816276e-10,1.0642554e-05,4.039457e-05,5.6886384e-10,1.2987286e-09,0.0033665767,2.7745062e-09,1.353161e-10,0.0073873797,0.0022728783,0.00043085785,0.0012781062,0.0027418286,0.0017971634,0.015617232,2.0489406e-10,4.5956391e-10,0.002618957,6.1999894e-10,0.0017446494,0.013101092,0.007996487,3.12184e-09
Otu17,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,na,5.719101e-10,2.2754444e-10,2.1255453e-10,5.6846e-10,0.011905457,0.005611724,7.3930833e-06,0.08704138,8.2702484e-10,8.6073415e-10,9.431796e-10,9.728706e-10,5.9100413e-10,0.00078889506,4.2057421e-10,7.8754754e-05,2.5848806e-10,0.9252014,4.193292e-09,6.9105854e-10,5.0871015e-05,1.0257368e-09,0.006076113,4.779705e-05,4.6780474e-10,0.017577587,3.4384173e-10,0.005524424,5.500944e-10,0.28836095,3.424557e-10,6.3479653e-09,0.00027834263,0.017205726,3.43e-08,1.1427873e-06,0.0030033072,0.00016789579,1.0317593e-08,7.302389e-10,9.479024e-10,4.838564e-10,5.880529e-08,0.0010772947,0.00020137246,3.883957e-10,1.1127895e-09,0.06420777,3.5268863e-10,4.8861254e-10,0.004399931,0.014018053,1.1553665e-09,6.9849615e-10,0.0005407353,0.026239628,4.744732e-10,2.066612e-08,6.0996896e-10,8.43944e-10,4.823505e-10,1.3551903e-09,0.008293005
Otu36,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na,1.1333403e-09,2.3445604e-10,1.6814897e-10,0.0014722026,0.0026195059,0.00081621023,0.0022140113,0.006139628,4.5681534e-10,0.00012475623,6.204971e-07,3.7000774e-08,5.8883365e-10,2.521771e-08,2.746755e-09,4.032583e-10,4.0592654e-10,3.7574638e-10,0.005117772,0.0021197044,0.00066739897,5.42497e-10,0.0016326606,4.833063e-09,3.8731446e-10,0.82866246,3.4384173e-10,6.4168665e-10,4.2230977e-10,0.0053515225,0.00086304394,0.04969813,0.0026223813,0.00039456403,0.002635468,0.0009290611,3.7028866e-07,0.0011561186,0.00024306428,0.0056490316,1.3078146e-09,5.498594e-10,0.0016265272,6.8986705e-10,0.0012057961,0.006331746,0.0011744719,0.00014200035,3.9760184e-06,4.749436e-10,0.011391876,0.0013736738,0.008299393,0.0059061553,6.205652e-10,0.0084983,4.5279908e-10,0.0034837085,6.9038036e-10,0.0048324466,0.009725216,0.02113783,0.0019740546
Otu71,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na,0.0009885501,3.1249284e-10,1.47429155e-05,0.0019612191,0.001522724,0.0008701091,1.6669073e-09,0.0014298308,4.541881e-10,0.00031298396,9.143406e-10,0.0015361698,5.074815e-10,8.139499e-10,5.6375513e-05,7.4892703e-10,1.8585238e-10,3.6303596e-10,2.976996e-09,0.00016434037,2.3372852e-06,4.814974e-10,2.8332922e-10,0.0016577176,8.348593e-10,7.477531e-10,3.4384173e-10,6.260108e-10,9.2525854e-10,0.0025948365,3.4273276e-10,0.006177771,4.5352566e-10,6.761723e-09,6.2867955e-10,5.289862e-10,5.7797406e-10,4.687006e-10,0.00018132204,7.302389e-10,0.0031340257,0.0010589358,0.00016982376,0.0013959896,1.2842201e-09,0.000884308,0.0024775423,0.0011466882,0.010183287,0.007572766,6.0036365e-10,0.00030905064,1.0834593e-09,0.00560829,2.5301643e-09,0.00065498735,4.5279908e-10,0.0006381597,6.7551026e-10,8.486866e-10,8.271211e-10,0.0003433576,0.00014478699
Otu12,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,na,0.029060164,2.652608e-10,0.00012400575,0.0030730134,0.022396026,0.012643117,1.3248439e-09,0.00138033,4.5530527e-10,1.7928705e-05,5.909567e-10,0.0010748296,3.640545e-09,0.00029513397,2.303178e-09,8.3251067e-10,2.3434418e-10,3.498017e-09,0.002687632,5.496961e-10,0.0062222457,0.004130611,3.4115394e-10,0.0010078908,0.0009695125,1.6610207e-09,0.0020625473,0.014108632,0.910284,1.1345938e-09,2.6899876e-09,4.1756225e-09,0.015138741,0.002180118,0.0022780162,0.0039875084,0.0036518888,4.078658e-09,2.7401715e-08,6.410659e-10,0.0011766109,0.004678948,0.006384363,0.010056005,0.0020731266,0.0045619057,0.001054403,1.3141091e-08,0.00063201255,4.743053e-10,1.609559e-08,2.8220429e-08,1.7664207e-09,0.0005517862,0.017205777,0.003112852,0.0043824213,0.011238184,6.175865e-10,2.3669132e-07,0.00984184,0.0014780682,0.016028985
Otu78,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Intestinimonas,na,0.007257243,1.695249e-10,1.7320555e-10,5.2912974e-10,0.005621537,1.8037541e-05,1.2788618e-09,0.00093167427,0.001878124,4.6060356e-10,1.673464e-10,4.5003512e-10,6.6832756e-10,0.0016739281,0.004195024,0.0007433641,2.5399324e-10,7.437969e-10,0.0003076014,0.0006678131,0.001489518,4.7662085e-10,0.001089104,0.0014355008,3.5861678e-10,0.00015192512,3.4384173e-10,1.0266943e-09,3.4425737e-10,0.0018649861,3.4273276e-10,0.00181712,0.0015479024,2.6591485e-10,2.8889474e-10,0.005156997,1.2337512e-09,4.689984e-10,0.008212809,7.29184e-10,0.00016284846,4.7960774e-10,9.544035e-09,5.8975724e-10,0.002332361,3.883957e-10,1.0818993e-08,4.695054e-10,8.288813e-06,0.016375532,0.0005270907,8.343806e-05,0.020798985,2.2977675e-09,0.0011449003,0.0008767534,5.873553e-10,6.179992e-10,6.0996896e-10,0.00041364724,0.007400686,0.00016637688,0.0003731772
Otu57,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,na,2.6163793e-09,2.3938598e-10,5.564334e-10,5.5459937e-10,5.854172e-10,1.1949746e-09,0.012722706,6.0582245e-10,5.075859e-10,0.0016307064,0.0011565782,4.4341157e-09,8.2082535e-10,0.002600649,4.4669504e-10,4.697638e-10,1.9034103e-10,8.491998e-10,0.0032897464,8.0013113e-10,3.6046927e-10,1.241698e-09,2.662073e-10,0.0014742753,3.656815e-10,8.3524393e-10,0.0008698024,1.3585673e-09,4.2998738e-10,2.8125674e-10,0.0005759239,0.0052851797,5.823984e-10,5.0459553e-10,0.009424001,0.0005197659,1.3258806e-09,1.1484849e-09,0.00048744047,1.35049e-09,0.0041927136,4.8061694e-10,9.807011e-10,6.4337274e-10,0.0010130738,0.0003640584,7.4273826e-10,1.4278033e-10,0.008871656,5.820262e-10,0.003536547,0.0001286478,0.0035255062,0.008369511,0.00012419156,4.846691e-10,4.5279908e-10,5.8798616e-10,6.2202204e-10,0.0005707951,0.0075742626,0.003527601,1.5857156e-08
Otu122,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na,1.5115059e-09,2.5900293e-10,1.7408057e-10,6.350587e-10,4.68579e-10,1.736445e-08,0.0047009345,5.327157e-10,0.0027521162,5.0169036e-10,3.2778713e-10,0.00020517071,5.8883365e-10,0.000578632,4.4278617e-10,2.488177e-10,3.1675274e-10,4.0251083e-10,0.015271267,3.4178768e-10,3.477546e-10,4.8174725e-10,5.459522e-10,4.4683326e-10,4.449764e-10,0.0015372939,3.4384173e-10,3.5584369e-09,3.908879e-10,2.1921265e-10,0.0006379424,0.0025832176,5.023874e-10,0.00024841234,0.00018104955,0.0021698729,3.995286e-10,0.00019561415,0.00080752355,7.515749e-10,7.9655615e-10,4.82892e-10,9.410412e-10,5.457724e-10,9.273101e-10,4.7981543e-05,7.5585765e-10,0.001155973,0.0001313541,4.715883e-10,3.7038303e-10,1.5790189e-05,0.00092085975,0.00051912165,4.743251e-10,0.0002530821,0.0015491631,0.000621271,6.0996896e-10,0.00089645555,5.30183e-10,0.021508291,0.0010383853
Otu25,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,na,na,na,8.458766e-10,3.6684242e-10,0.00012832767,0.00079514977,0.00029583144,3.993515e-09,0.0042607035,3.734089e-09,0.0010470875,0.0010903559,1.2499914e-09,0.004433123,1.7487727e-09,0.0003660324,0.9555901,3.63482e-10,2.539206e-10,0.0011430979,1.4516554e-09,0.00064862735,8.860903e-10,2.7324513e-05,0.008371232,0.0035210026,3.640447e-10,0.00069615524,0.0004025636,0.0022789498,4.4279974e-10,0.0016248876,0.0016581878,0.007148875,0.015588949,0.0029455253,7.483823e-05,0.0031583793,0.0049057296,0.0011983956,0.0029384652,8.36883e-10,0.003911313,0.00028947098,2.3004194e-09,0.008253688,0.0008086139,3.890556e-10,6.886837e-10,0.020004503,4.206406e-10,6.8913425e-10,3.9295836e-10,0.003069632,0.01117895,7.2011097e-10,2.9847842e-09,0.0030618354,0.0098118195,6.5189987e-10,0.016783807,7.2078336e-05,0.015680524,0.00050600426,0.00804536
Otu101,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerotignum,na,5.6620963e-10,2.6091632e-10,2.487423e-10,3.3968647e-10,0.010464243,7.499185e-10,1.2136553e-09,0.015015547,1.9777683e-08,0.0002399887,1.8720983e-09,0.00020585905,0.0005651182,0.00029997673,0.00044773554,2.236701e-10,2.4408314e-10,0.0011491997,2.0440603e-09,3.4386968e-10,3.65194e-09,4.711606e-10,0.00042372834,9.161624e-10,3.6356732e-10,0.0022956592,3.4384173e-10,5.963498e-10,0.0032502366,0.00023435385,3.4273276e-10,0.009089219,9.3713346e-08,2.3721883e-10,2.8889474e-10,0.0005071703,5.747837e-10,4.689984e-10,6.630368e-09,7.302389e-10,7.3653383e-10,4.82892e-10,1.0304118e-09,5.2733773e-10,9.103809e-10,6.369211e-10,7.428204e-10,0.00066323945,1.8198686e-09,0.004301717,0.00034752174,5.454389e-06,1.0909286e-09,9.175012e-10,0.00035106408,0.00030962762,5.4600074e-10,1.6206481e-09,6.1706373e-10,8.218648e-10,0.0003564483,0.0007579987,2.1104254e-09
Otu50,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster,na,5.6563104e-10,2.185971e-10,2.9172367e-10,7.537798e-10,0.0021671809,0.009052308,0.010875606,0.015880495,1.845245e-08,2.9692622e-09,4.7371623e-10,0.0010660518,0.0005937,0.0037770034,1.0066389e-09,6.7991357e-10,2.597875e-10,0.0024364793,0.0022940782,9.290873e-05,0.0031643,0.00054996705,0.001853976,0.0006799417,3.8904474e-10,0.00025610256,3.4384173e-10,0.84758466,0.0014260245,0.0084069185,4.5043493e-05,0.012331848,0.001796236,0.0010143651,3.2619757e-10,0.00072576175,9.6296e-08,0.0007738291,0.0019502714,8.628575e-10,0.0070882393,4.906462e-10,1.1429093e-09,0.00095611095,0.0010184919,3.8838163e-10,7.428204e-10,0.003077786,3.5810874e-10,5.0832766e-10,0.00022347773,1.2471178e-07,0.013514676,0.00043200672,4.5052323e-10,0.006000222,0.00063011755,0.0039952733,6.0996896e-10,0.002548243,0.010969023,0.022638675,0.0065111257
Otu72,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Cellulosilyticum,na,5.6584465e-10,0.00019606753,1.779235e-10,0.00011219549,4.7921467e-10,7.539529e-10,1.0888248e-09,5.299935e-10,4.5045764e-10,4.873283e-10,3.1131786e-10,4.4966442e-10,0.0024130272,6.275649e-10,4.3529497e-10,2.6901711e-10,2.380418e-10,4.0251083e-10,1.7990426e-09,1.5549263e-07,3.477546e-10,0.00097478606,2.5967486e-10,0.0006586366,0.00024982533,7.774201e-10,0.0011090456,5.963498e-10,7.6016693e-10,2.1570462e-10,3.4273276e-10,1.4085129e-09,5.056647e-10,2.3779462e-10,2.9968478e-10,4.853398e-10,3.9413275e-10,4.689984e-10,8.870061e-09,7.302389e-10,0.005454704,0.00038176455,9.490569e-10,5.4614935e-10,9.814918e-10,3.883957e-10,7.428204e-10,1.340609e-10,1.3401938e-05,4.7157483e-10,0.00021966815,8.7978125e-10,1.097348e-09,7.030272e-10,0.00028036904,1.5518635e-10,4.5279908e-10,5.9825805e-10,6.140007e-10,8.5908874e-10,2.1917525e-05,1.3475017e-09,7.320221e-10
