Otu,Domain,Phylum,Class,Order,Family,Genus
Otu834,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,na
Otu838,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerosporobacter
Otu820,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea
Otu855,Bacteria,na,na,na,na,na
Otu862,Bacteria,na,na,na,na,na
Otu770,Bacteria,Firmicutes,Bacilli,na,na,na
Otu827,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,na
Otu851,Bacteria,na,na,na,na,na
Otu811,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu852,Bacteria,na,na,na,na,na
Otu824,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Falcatimonas
Otu861,Bacteria,na,na,na,na,na
Otu859,Bacteria,na,na,na,na,na
Otu831,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium
Otu860,Bacteria,na,na,na,na,na
Otu857,Bacteria,na,na,na,na,na
Otu821,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia
Otu863,Bacteria,Proteobacteria,na,na,na,na
Otu826,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,na
Otu839,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Otu867,Bacteria,na,na,na,na,na
Otu814,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,na
Otu864,Bacteria,na,na,na,na,na
Otu853,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus
Otu819,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus
Otu871,Bacteria,na,na,na,na,na
Otu837,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus
Otu856,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerobutyricum
Otu848,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,na
Otu866,Bacteria,na,na,na,na,na
Otu869,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster
Otu854,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerotignum
Otu868,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu870,Bacteria,na,na,na,na,na
Otu881,Bacteria,na,na,na,na,na
Otu875,Bacteria,na,na,na,na,na
Otu858,Bacteria,na,na,na,na,na
Otu872,Bacteria,na,na,na,na,na
Otu879,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Hespellia
Otu847,Bacteria,Firmicutes,Bacilli,Lactobacillales,na,na
Otu849,Bacteria,Firmicutes,na,na,na,na
Otu850,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Anaerorhabdus
Otu836,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Otu865,Bacteria,Bacteroidetes,na,na,na,na
Otu874,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na
Otu873,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Otu880,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus
Otu876,Bacteria,Firmicutes,Bacilli,na,na,na
Otu878,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus
Otu877,Bacteria,Proteobacteria,na,na,na,na
